SurveyPurpose,Protocol,WaterID,WaterName,SampleDate,Location,Elevation,UTMZone,UTMX,UTMY,INCLUDE,KMB COMMENTS,NewUTMX,NewUTMY,Basin,StationLength,AvgWidth,StationCode,SiteType,SurveyID,Comment,Narrative,USGS
NULL,PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,9/18/07,Between 8th St & HWY 24,5962,13,513954,4297859,,,513954,4297861,Arkansas,492,15.8,AR0386,NULL,49759,NULL,"30 minutes total shocking time, 1 BP shocker.  Lack of velocity shelter lower 2/3 of reach, flashy flow regime, QW from Gold Hills Mesa.",NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,32792,FOUNTAIN CREEK #4,9/18/07,ABV Diversion @ Gauge,6126,13,510582,4300660,,,510582,4300660,Arkansas,579,18,AR1854,NULL,49760,NA,"1 BP E-fisher, 45 mintues total time.  Missed approx. 6 fish.  Fast water, highter stage than previous years?",NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,32780,FOUNTAIN CREEK #3,9/18/07,BLW I-25 Business Loop,5899,13,515497,4296366,,,515496,4296364,Arkansas,366,35.4,AR0550,NULL,49763,NULL,2 BP E-fishers x 30 minutes = 60 minutes total time.  Good water clarity. ,NO
NULL,PRESENCE/ABSENCE,30419,MONUMENT CREEK #1,9/18/07,200 M BLW W Bijou St,5970,13,514781,4298520,,,514783,4298519,Arkansas,582,82,AR1839,NULL,49772,NULL,110 total E-fish time with two BP shockers.  Good water clarity,NO
"Species Presence, Community Composition and Relative Abundance",PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,9/19/07,700 M ABV Old Pueblo Rd,5362,13,528465,4273165,,,528465,4273165,Arkansas,295,102,AR1834,NULL,49761,NA,"3 pass depletion sampling plus 4 seine hauls.  All fish captured in seine hauls were combined into 1 length frequency record.  Pass #1, 2 BP shockers, 90 minutes total shocking time, Pass #2, 2 BP shockers, 60 minutes of shocking time.  Pass #3, 2 BP shockers, 60 min total shocking time.  1 crew fished LEW with deeper water, woody snags and small amount of undercut banks, 1 crew fished shifting-sand channel that generally had shallower faster water and lacked cover.  ",NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,9/19/07,ABV Pinon Rd,4993,13,535464,4254691,,,535464,4254691,Arkansas,331,84.8,AR0147,NULL,49764,NULL,"2 BP E-fishers, 60 minures total time.  Fair water clarity.",NO
NULL,PRESENCE/ABSENCE,29757,FOUNTAIN CREEK #1,9/19/07,200 M BLW HWY 50,4692,13,534807,4237630,,,534809,4237630,Arkansas,429,145,AR0720,NULL,49766,NA,"2 BP E-fishers, 60 minutes total time.  Fair water clarity (reduced sampling effiency).",NO
NULL,PRESENCE/ABSENCE,33528,JIMMY CAMP CREEK,9/21/07,ABV E Ohio Ave,5542,13,527074,4281812,Include?,No info on two passes.,527106,4281812,Arkansas,325,5.4,AR2273,NULL,49771,NULL,50 minutes E-fish with 1 BP E-fisher and 1 seine haul from pool in upper end of reach (all fish combined).  Good water clarity.  Bob Followell is the property owner (719) 392-5255.,NO
NULL,MARK/RECAPTURE,28983,ARKANSAS R #4,10/16/07,BLW S 9th St,5306,13,479736,4254600,Exclude,Mark-recapture study,479736,4254598,Arkansas,7920,100,AR0500,NULL,1273,NULL,"Mark Pass on 10/11 Two brown trout collected in poor condition.  36 longnose dace captured on mark run, 18 on recapture run.  One fathead minnow collected.  Numerous suckers seen but not collected.",NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32970,ARKANSAS R #6B,5/5/08,0.5 MI ABV Henthorn Gulch @ Unnamed Trib (AR14),6391,13,437313,4246724,Exclude,Fry survey- different protocol. Elev above 6000ft and WEST of I-25.,437313,4246724,Arkansas,248,5,AR2141,NULL,2085,NULL,FRY SURVEY - Population underestimated because small fish difficult to see and capture.  Collected 11 LOC for histology analysis.,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32968,ARKANSAS R #6A,5/9/08,BLW CO RD 157,5754,13,465208,4259727,Exclude,Whirling Disease study/ Fry survey,465208,4259726,Arkansas,213,5,AR1684,NULL,2787,NULL,FRY SURVEY - Turbidity may have affected capture.,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,28983,ARKANSAS R #4,5/9/08,475 M BLW 9th St (AR16),5300,13,480152,4254543,Exclude,Whirling Disease study/ Fry survey,480152,4254543,Arkansas,230,5,AR2206,NULL,2792,NULL,FRY SURVEY - Turbidity likely affected capture.,NO
Whirling Disease Sampling,PRESENCE/ABSENCE,28983,ARKANSAS R #4,5/9/08,ABV 4th St Bridge (AR16b),5321,13,478811,4254259,Exclude,Whirling Disease study/ Fry survey,478810,4254262,Arkansas,192,5,AR0414,NULL,2915,NULL,FRY SURVEY - Turbidity likely affected capture.,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32970,ARKANSAS R #6B,6/13/08,0.5 MI ABV Henthorn Gulch @ Unnamed Trib (AR14),6391,13,437313,4246724,Exclude,Fry survey- different protocol. Elev above 6000ft and WEST of I-25.,437313,4246724,Arkansas,205,5,AR2141,NULL,2086,NULL,FRY SURVEY - T,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32968,ARKANSAS R #6A,6/13/08,BLW CO RD 157,5754,13,465208,4259727,Exclude,Whirling Disease study/ Fry survey,465208,4259726,Arkansas,195,5,AR1684,NULL,2788,NULL,FRY SURVEY - T,NO
Whirling Disease Sampling,PRESENCE/ABSENCE,28983,ARKANSAS R #4,6/13/08,ABV 4th St Bridge (AR16b),5321,13,478811,4254259,Exclude,Whirling Disease study/ Fry survey,478810,4254262,Arkansas,192,5,AR0414,NULL,2916,NO FISH,FRY SURVEY - No fry collected.  Fish larger than fry stunned but not collected.  T,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32970,ARKANSAS R #6B,7/11/08,0.5 MI ABV Henthorn Gulch @ Unnamed Trib (AR14),6391,13,437313,4246724,Exclude,Fry survey- different protocol. Elev above 6000ft and WEST of I-25.,437313,4246724,Arkansas,248,5,AR2141,NULL,2087,NULL,FRY SURVEY - T,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32968,ARKANSAS R #6A,7/11/08,BLW CO RD 157,5754,13,465208,4259727,Exclude,Whirling Disease study/ Fry survey. Elev above 6000ft and WEST of I-25.,465208,4259726,Arkansas,195,5,AR1684,NULL,2789,NULL,FRY SURVEY - T,NO
Whirling Disease Sampling,PRESENCE/ABSENCE,28983,ARKANSAS R #4,7/11/08,ABV 4th St Bridge (AR16b),5321,13,478811,4254259,Exclude,Whirling Disease study/ Fry survey,478810,4254262,Arkansas,192,5,AR0414,NULL,2917,NULL,"FRY SURVEY - Other species collected in 25-55 mm range including one FHM, six LND, and 12 WHS.  T",NO
NULL,TWO-PASS REMOVAL,33504,HORSE CREEK,7/18/08,250 M ABV Unnamed Trib,5662,13,590920,4307791,,,590920,4307791,Arkansas,150,5,AR2402,NULL,24954,Changed to Station AR2402 from AR2982,Fish recorded in 20 mm size-classes. Recorded lengths are avgs of that respective size-class. Record # 1063,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,7/18/08,250 M ABV Unnamed Trib,5662,13,590920,4307791,Include?,How many passes were conducted?,590920,4307791,Arkansas,150,5,AR2402,NULL,26276,NULL,"Record # 1063. Too narrow and obstructed to seine, we used dipnets for final ""seine"" pass. After 1st Seine Pass we stopped to let storm pass through-strong winds, heavy rain and lightnin for about one hour. pH meter would not work 7/18/08.",NO
Multi-purpose,FULL HABITAT,33504,HORSE CREEK,7/18/08,250 M ABV Unnamed Trib,5662,13,590920,4307791,,,590920,4307791,Arkansas,150,5,AR2402,NULL,44257,NA,"RECORD #1063 The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Record # 1063.  After 1st Seine Pass we stopped to let storm pass through-strong winds, heavy rain and lightnin for about one hour. pH meter would not work 7/18/08.  ",NO
NULL,PRESENCE/ABSENCE,32152,WILD HORSE CREEK,7/23/08,75 M ABV CO RD JJ,3452,13,751462,4220845,,,751462,4220845,Arkansas,NULL,32,AR2323,NULL,24259,"No Station Length, No gear/effort",Fish recorded in 20 mm size classes. Reported length is the avg of the respective size class. Record # 1064,NO
NULL,PRESENCE/ABSENCE,32152,WILD HORSE CREEK,7/23/08,Holly Flood State Wildlife Area,3392,13S,751436,4214832,Exclude,"Comments suggest fish were caught, but no fish in data base.  ",751496,4214720,Arkansas,NULL,32,AR2954,NULL,26460,We did not follow narmal portocol for this site. Based on average width the reach was supposed to be very long (640 ft.). The conductivity was very high (4000uS/cm) so the electroshocker was not as effective on small fishes. The stream was very deep in places so complete seining or electrofishing was impossible. This site was just an estimate of species  presence.,Site photos were only taken at the bottom.  Record # 1064,NO
Multi-purpose,FULL HABITAT,32152,WILD HORSE CREEK,7/23/08,Holly Flood State Wildlife Area,3392,13S,751436,4214832,Exclude,Different protocol?,752235,4214850,Arkansas,NULL,32,AR2954,NULL,44233,NA,The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Record # 1064 We did not follow narmal portocol for this site. Based on average width the reach was supposed to be very long (640 ft.). The conductivity was very high (4000uS/cm) so the electroshocker was not as effective on small fishes. The stream was very deep in places so complete seining or electrofishing was impossible. This site was just an estimate of species  presence.   ,NO
NULL,PRESENCE/ABSENCE,31485,TIMPAS CREEK,7/24/08,2.1 Km BLW HWY 71,4190,13,612857,4202481,Exclude,I don't understant the method codes.  ,612854,4202479,Arkansas,420,21,AR2404,NULL,24260,Codes for status cut off in narrative - leaving protocol as presence/absence; No gear/effort,"The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3) The codes for the """"status"""" section are as follows. EB",NO
Multi-purpose,FULL HABITAT,31485,TIMPAS CREEK,7/24/08,2.1 Km BLW HWY 71,4190,13,612857,4202481,,,612855,4202478,Arkansas,420,21,AR2404,NULL,44252,NA,"The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3) The codes for the ""status"" section are as follows. EB= electro backwater; EE= electro eddy; EM= electro main, run/riffle; SB=seine backwater 1A=fist pass of a section 1B=second pass of same sections. Record # 1065 Water turbid-maybe from previous nigh thunderstorms upstream. Water was turbid and flowing fast so we only electrofished the stream once and seined it twice. Seining was more efficient for these conditions.   ",NO
NULL,THREE-PASS REMOVAL,28959,DEADMAN DITCH,7/25/08,150 M BLW CO RD JJ,3490,13,740638,4220419,,,740632,4220415,Arkansas,200,8.1,AR0619,NULL,25036,"pass 1 & 2 via EF, pass 3 via seine (unknown # hauls)",Fish recorded in 2 cm size classes. Reported lengths are avgs of the respective size class. Record # 1066.,NO
NULL,PRESENCE/ABSENCE,31461,PURGATOIRE R #1,7/28/08,1500 M (0.9 M)i ABV Salt Arroyo (AR6b),4122,13,642848,4184574,Include?,,642848,4184574,Arkansas,1312,33,AR1674,NULL,1142,Reset status and mark columns when you find the MARK pass -,"E-fish pass #1 3154 seconds, 105 minutes total time, EPA ID, CO-13",YES
NULL,PRESENCE/ABSENCE,32162,WOLF CREEK,7/29/08,ABV HWY 50,3498,13,733657,4216324,,,733657,4216324,Arkansas,492,4,AR0023,NULL,624,Reset status and mark columns when you find the MARK pass -,"E-fish pass #1 1752 seconds, 35 minutes total time, specific conductance 2820 microsiemens, EPA ID, CO-20.",YES
Whirling Disease Sampling,TWO-PASS REMOVAL,32970,ARKANSAS R #6B,8/7/08,0.5 MI ABV Henthorn Gulch @ Unnamed Trib (AR14),6391,13,437313,4246724,Exclude,Fry survey- different protocol. ,437313,4246724,Arkansas,248,5,AR2141,NULL,2088,NULL,FRY SURVEY - T,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32968,ARKANSAS R #6A,8/7/08,BLW CO RD 157,5754,13,465208,4259727,Exclude,Whirling Disease study/ Fry survey,465208,4259726,Arkansas,195,5,AR1684,NULL,2790,NULL,FRY SURVEY - T,NO
Whirling Disease Sampling,PRESENCE/ABSENCE,28983,ARKANSAS R #4,8/7/08,ABV 4th St Bridge (AR16b),5321,13,478811,4254259,Exclude,Whirling Disease study/ Fry survey,478810,4254262,Arkansas,192,5,AR0414,NULL,2918,NULL,FRY SURVEY - T,NO
NULL,CPUE,33990,UNMANAGED STM AR MJ DRAIN,8/7/08,Spring #17 - Hugo State Wildlife Area,4960,13S,636465,4306643,,,636352,4306440,Arkansas,783,NULL,AR2987,NULL,24509,Net records created 12/6/11,Record #1069;Checking presence/absence of SRD populations that were previously stocked into spring/reservoir. SRD found where spring enters system/other species in pond entrance downstream. Spring/stream filled in with cattails/ vegetation. Fish reported in 20 mm size-classes. Lengths are avgs of that respective size-class. There were five people on the dipnets. Record # 1069.,NO
Multi-purpose,FULL HABITAT,33990,UNMANAGED STM AR MJ DRAIN,8/7/08,Spring #17 - Hugo State Wildlife Area,4960,13S,636465,4306643,,,636352,4306440,Arkansas,783,NULL,AR2987,NULL,44224,NA,The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). The only method used was dipnets. There were five people on the dipnets. Record # 1069.  Checking presence/absence of SRD populations that were previously stocked into spring/reservoir. SRD found where spring enters system/other species in pond entrance downstream. Spring/stream filled in with cattails/ vegetation.   ,NO
NULL,CPUE,33202,BIG SANDY CREEK #1,8/12/08,Big Sandy Pond #1 Sand Creek Massacre Site,3973,13S,716497,4270813,,,716497,4270813,Arkansas,81,27,AR2988,NULL,23969,Net records created 12/6/11,Fish recorded in 20 mm size-classes. Reported length is an avg of the respective size-class.  Record # 1070.,NO
NULL,CPUE,33202,BIG SANDY CREEK #1,8/12/08,Big Sandy Pond #2 Sand Creek Massacre Site,3962,13S,717413,4269881,,,717413,4269879,Arkansas,NULL,NULL,AR2989,NULL,24028,Net records created 12/6/11,Fish grouped into 20 mm size-classes. Recorded lengths are avg's of these size-classes. Record # 1071.,NO
NULL,PRESENCE/ABSENCE,33202,BIG SANDY CREEK #1,8/12/08,Big Sandy Pond #3 Sand Creek Massacre Site,3961,13S,718016,4269777,,,718018,4269769,Arkansas,NULL,NULL,AR2990,NULL,26245,Seine only. Conductivity too high to shock.,Record # 1072. ,NO
Multi-purpose,FULL HABITAT,33202,BIG SANDY CREEK #1,8/12/08,Big Sandy Pond #1 Sand Creek Massacre Site,3973,13S,716497,4270813,,,716497,4270813,Arkansas,81,27,AR2988,NULL,44201,NA,The DO % Sat was not stable. The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Sampled only with seine and dipnets. Record # 1070.    ,NO
Multi-purpose,FULL HABITAT,33202,BIG SANDY CREEK #1,8/12/08,Big Sandy Pond #2 Sand Creek Massacre Site,3962,13S,717413,4269881,,,717413,4269879,Arkansas,NULL,NULL,AR2989,NULL,44202,NA,"The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Seine only, water deep and conductivity high.  Record # 1071.    ",NO
Multi-purpose,FULL HABITAT,33202,BIG SANDY CREEK #1,8/12/08,Big Sandy Pond #3 Sand Creek Massacre Site,3961,13S,718016,4269777,,,718018,4269769,Arkansas,NULL,NULL,AR2990,NULL,44239,NA,"The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Seine only, conductivity to high to shock.  Record # 1072.    ",NO
NULL,THREE-PASS REMOVAL,32152,WILD HORSE CREEK,8/13/08,Wild Horse Creek-Downstream of Prowers Co Rd LL Bridge,3500,13s,750753,4223447,,,750753,4223447,Arkansas,300,15,AR2992,NA,24030,"Pass 1 & 3 via EF, pass 2 via seine",The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Record #1074.,NO
Multi-purpose,FULL HABITAT,32152,WILD HORSE CREEK,8/13/08,Wild Horse Creek-Downstream of Prowers Co Rd LL Bridge,3499,13s,750753,4223447,,,750753,4223447,Arkansas,300,15,AR2992,NA,44236,NA,The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Record #1074.    ,NO
NULL,THREE-PASS REMOVAL,33384,WEST MAY  VALLEY DITCH,8/14/08,ABV HWY 196,3620,13,709413,4221550,,,709414,4221550,Arkansas,225,11.25,AR0031,NULL,24031,"Pass 1 & 3 via EF, Pass 2 via seine (unknown effort)",The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). Seining not as efficient due to large vegetation (algae mats) areas. Record # 1075.,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,8/14/08,425 M BLW CO RD BB,4590,13,613546,4259381,,,613546,4259381,Arkansas,285,14.2,AR1827,NULL,24062,Sampled via seine (unknown effort),The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). BPEF would not work (both bettery and gas powered) Only seined 1 pass. Starm coming so did not seine again. Record # 1076.,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,8/14/08,Horse creek at BB rd. ,4601,13S,613691,4260607,,,613691,4260607,Arkansas,285,14.2,AR2994,NULL,26425,Stream not flowing at this time (likely flows only with extensive  rains) BPEF would not work (both battery and gas powered) Only seined one pass. Storm coming so did not seine again.,Record # 1076,NO
Multi-purpose,FULL HABITAT,33504,HORSE CREEK,8/14/08,Horse creek at BB rd. ,4601,13S,613691,4260607,,,613691,4260607,Arkansas,285,14.2,AR2994,NULL,44216,NA,The fish were put into length catergories (example 2-4) and the length recorded is the average of that length catergory (example 3). BPEF would not work (both bettery and gas powered) Only seined 1 pass. Starm coming so did not seine again. Record # 1076.  Stream not flowing at this time (likely flows only with extensive  rains)  ,NO
NULL,CPUE,33201,BIG SANDY CREEK,8/20/08,150 M BLW Ramah Reservoir,6162,13,568729,4327990,Include?,Info on survey methods is unclear/ contradictory.,568720,4328015,Arkansas,393,NULL,AR0106,NULL,23896,"No Station Width, No gear/effort",Dipnets,NO
Multi-purpose,FULL HABITAT,33201,BIG SANDY CREEK,8/20/08,150 M BLW Ramah Reservoir,6162,13,568729,4327990,,,568720,4328015,Arkansas,393,NULL,AR0106,NULL,44199,NA," DP=dipnet. Record # 1077.  three ponds (pools) connected by vegetated, shallow water.  ""stream sections"" between pools 1 and 3 were sampled by dipnetting because of very shallow, vegetated, intermittent stream. 3.5 hours=totoal effort by dipnets.  ",NO
NULL,THREE-PASS REMOVAL,33990,UNMANAGED STM AR MJ DRAIN,9/2/08,Wiley Drainage Ditch - ABV CO RD RR,3785,13,698176,4228971,Include?,Assume passes 1 and 3 are EF and pass 2 = seining?,698164,4228962,Arkansas,175,8.75,AR0036,NULL,23897,"Pass 1 & 3 via unknown sampling gears (probably EF), pass 2 via seine (unknown # hauls); Invalid WaterCode, No gear/effort",No water code. Record # 1081.,NO
NULL,THREE-PASS REMOVAL,33386,VISTA DEL RIO DITCH,9/2/08,400 M ABV HWY 50 Near Lamar,3639,13,705218,4220790,,,705218,4220791,Arkansas,164,8.125,AR0428,NULL,24029,Updated protocol for multi-pass removal; No gear/effort,Carp were present outside the sampling reach.  Record # 1080.,NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,9/2/08,Wiley Drainage Ditch - South of Co Rd RR,3781,13S,698231,4228837,,,698230,4228836,Arkansas,175,8.75,AR2999,NULL,26223,Drainage gets waste water and runoff from farms so fairly turbid.,No water code. Record # 1081. ,NO
Multi-purpose,FULL HABITAT,33990,UNMANAGED STM AR MJ DRAIN,9/2/08,Wiley Drainage Ditch - South of Co Rd RR,3781,13S,698231,4228837,,,698230,4228836,Arkansas,175,8.75,AR2999,NULL,44234,NA,Record # 1081.  Drainage gets waste water and runoff from farms so fairly turbid.   ,NO
NULL,TWO-PASS REMOVAL,33990,UNMANAGED STM AR MJ DRAIN,9/3/08,Unnamed trib - Wetland west of US Hwy 385 intersection with Prowers Co Rd JJ,3486,13s,735299,4220477,,,735299,4220477,Arkansas,150,NULL,AR3000,NULL,25282,"Pass 1 via EF, pass 2 via seine (unknown effort); Invalid WaterCode, No Station Width",No water code. Record # 1082.,NO
NULL,THREE-PASS REMOVAL,33384,WEST MAY  VALLEY DITCH,9/3/08,Upper Mayvalley Drainage,3661,13S,709348,4224303,,,709351,4224303,Arkansas,282.5,14.125,AR3003,NULL,25664,"Pass 1 via EF, Pass 2 & 3 via seining (unknown effort); 2nd pass (seining) produced more species though not all species from the first pass-due to very turbid water we decided to seine for the 3rd pass.","Low efficient on all passes both electrofishing and seining do to substrate, turbidity and woody debris present at sample reach. 2nd pass (seining) produced more species though not all species from the first pass-due to very turbid water we decided to seine for the 3rd pass. Record # 1085.",NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,9/3/08,Unnamed Tributary - 100 M ABV Buffalo Canal,3485,13,735536,4220479,,,735536,4220479,Arkansas,150,NULL,AR2420,NULL,26394,NULL,Bottom of marsh reach only sampled along the edges by dipnets because electroshocking impossible due to deep water and very mucky substrate. Stream flow calculated using area of discharge pipe and 1 velocity measurement.  Flow = 3.18 CFS; Discharge was from a 3ft pipe 1/2 full.  Sampled for mollusks while dipnetting/aquatic sampling 1hr 50 min total. No water code. Record # 1082.,NO
Multi-purpose,FULL HABITAT,33990,UNMANAGED STM AR MJ DRAIN,9/3/08,Unnamed trib - Wetland west of US Hwy 385 intersection with Prowers Co Rd JJ,3486,13s,735299,4220477,,,735299,4220477,Arkansas,150,NULL,AR3000,NULL,44254,NA,Discharge was from a 3ft pipe 1/2 full.  Sampled for mollusks while dipnetting/aquatic sampling 1hr 50 min total. No water code. Record # 1082.  Site is wetlands below a fish pond/ seep that has regulated discharge through a 3ft pipe. We measured the flow at the time of our sampling. We sampled ~150 reach with dipnets along the edge and electrofished only ~50ft nearest the discharge pipe due to deep water/ immersion isues.  Bottom of marsh reach only sampled along the edges by dipnets because electroshocking impossible due to deep water and very mucky substrate.  1HR50MIN SEINE EFFORT,NO
NULL,THREE-PASS REMOVAL,33990,UNMANAGED STM AR MJ DRAIN,9/4/08,Unnamed trib - Lamar Greenbelt RW site number 5081,3623,13S,707656,4218012,,,707656,4218012,Arkansas,150,4.375,AR3001,NULL,23370,"Pass 1 & 3 via EF, Pass 2 via ""DN"" (Dipnet assumed); Invalid WaterCode",South of Arkansas River DN,NO
NULL,THREE-PASS REMOVAL,33756,BUFFALO CREEK,9/4/08,ABV HWY 385,3563,13,735553,4225731,,,735553,4225731,Arkansas,150,6,AR0018,NULL,23976,"Pass 1 & 3 via EF, Pass 2 via seine (unknown effort)",Record # 1084,NO
NULL,PRESENCE/ABSENCE,33990,UNMANAGED STM AR MJ DRAIN,9/4/08,Lamar Greenbelt - ABV CO RD HH,3626,13,707630,4217722,Exclude,Comments says ID'ed some fish but data base has no fish IDs.,707630,4217722,Arkansas,150,4.375,AR2326,NULL,26142,Cement irrigation ditch covered with a layer of fine silt and vegetation. We sampled from just below cement ditch including a small portion of the pool. Wider pool near bridge not sampled but visually identified more of same species and larger CPK.,No water code. Record # 1083. ,NO
Multi-purpose,FULL HABITAT,33756,BUFFALO CREEK,9/4/08,ABV HWY 385,3563,13,735553,4225731,,,735553,4225731,Arkansas,150,6,AR0018,NULL,44203,NA,Record # 1084   ,NO
Multi-purpose,FULL HABITAT,33990,UNMANAGED STM AR MJ DRAIN,9/4/08,Unnamed trib - Lamar Greenbelt RW site number 5081,3623,13S,707656,4218012,,,707656,4218012,Arkansas,150,4.375,AR3001,NULL,44229,NA,South of Arkansas River DN=dipnet. Record # 1083.  Cement irrigation ditch covered with a layer of fine silt and vegetation. We sampled from just below cement ditch including a small portion of the pool. Wider pool near bridge not sampled but visually identified more of same species and larger CPK.   ,NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32970,ARKANSAS R #6B,9/8/08,0.5 MI ABV Henthorn Gulch @ Unnamed Trib (AR14),6391,13,437313,4246724,Exclude,Fry survey- different protocol.,437313,4246724,Arkansas,155,5,AR2141,NULL,2089,NULL,FRY SURVEY - 10 LOC collected for full disease analysis.  T,NO
NULL,PRESENCE/ABSENCE,33504,HORSE CREEK,9/8/08,ABV CO RD 10 (#1),5596,13,592535,4305936,Exclude,Did not follow protocol (seeNarrative).,592535,4305936,Arkansas,96,13.25,AR0522,NULL,26097,NULL,"Record # 1093; For Crockett's method experiment: divided reach in half and shocked bottom secion first,  seined second. For top section seined first, then shocked second. Used block nets on each end of reach and in the center.  2 Ponds above stream to west seep and run into stream at several points.",NO
Multi-purpose,FULL HABITAT,33504,HORSE CREEK,9/8/08,ABV CO RD 10 (#1),5596,13,592535,4305936,,,592535,4305936,Arkansas,96,13.25,AR0522,NULL,44245,NA,"Record # 1093 For Crockett's method experiment: divided reach in half and shocked bottom secion first,  seined second. For top section seined first, then shocked second. Used block nets on each end of reach and in the center.  2 Ponds above stream to west seep and run into stream at several points.   ",NO
NULL,THREE-PASS REMOVAL,29402,CHICO CREEK,9/9/08,BLW Black Squirrel Creek,4780,13,551835,4250509,,,551832,4250509,Arkansas,NULL,23,AR0094,NULL,23953,"Pass 1 & 3 via EF, Pass 2 via seining (unknown effort); No Station Length",Record # 1086,NO
NULL,THREE-PASS REMOVAL,29402,CHICO CREEK,9/9/08,BLW Pexton Hwy,4889,13,550309,4256844,,,550305,4256841,Arkansas,150,5.75,AR0093,NULL,25665,"Pass 1 & 3 via unknown sampling gears (probably EF), pass 2 via seine (unknown # hauls); No gear/effort",Record # 1087.,NO
NULL,PRESENCE/ABSENCE,29402,CHICO CREEK,9/9/08,Chico Creek South-South of joining Black Squirrel,4777,13S,551816,4250185,,,551805,4250189,Arkansas,NULL,23,AR3004,NULL,26339,"25 x 21 ft pool sampled The downstream pool had no vegetation with gravel/silt/bedrock/cobble shale bottom with a max. depth of 1ft. And ~10% undercut ledges, with no riparian vegetation-bare ground. Only sampled the one downstream pool, upstream pool with vegetation and silt/sand substrate not sampled except for water samples. Not sampled due to cattle being run across the site.",Record # 1086,NO
Multi-purpose,FULL HABITAT,29402,CHICO CREEK,9/9/08,BLW Pexton Hwy,4889,13,550309,4256844,,,550305,4256841,Arkansas,150,5.75,AR0093,NULL,44205,NA,"Record # 1087 Pool sampled, not flowing-only during high water does creek flow. Highly turbid.   ",NO
Multi-purpose,FULL HABITAT,29402,CHICO CREEK,9/9/08,Chico Creek South-South of joining Black Squirrel,4777,13S,551816,4250185,,,551805,4250189,Arkansas,NULL,23,AR3004,NULL,44240,NA,"Record # 1086 The downstream pool had no vegetation with gravel/silt/bedrock/cobble shale bottom with a max. depth of 1ft. And ~10% undercut ledges, with no riparian vegetation-bare ground. Only sampled the one downstream pool, upstream pool with vegetation and silt/sand substrate not sampled except for water samples. Not sampled due to cattle being run across the site.   ",NO
Whirling Disease Sampling,TWO-PASS REMOVAL,32968,ARKANSAS R #6A,9/10/08,BLW CO RD 157,5754,13,465208,4259727,Exclude,Whirling Disease study/ Fry survey,465208,4259726,Arkansas,384,10,AR1684,NULL,2791,NULL,FRY SURVEY - T,NO
Whirling Disease Sampling,PRESENCE/ABSENCE,28983,ARKANSAS R #4,9/10/08,ABV 4th St Bridge (AR16b),5321,13,478811,4254259,Exclude,Whirling Disease study/ Fry survey,478810,4254262,Arkansas,192,5,AR0414,NULL,2919,NULL,FRY SURVEY - T,NO
NULL,PRESENCE/ABSENCE,32778,FOUNTAIN CREEK #2,9/10/08,BLW Diversion Dam In Clear Spring Ranch Park,5455,13,527039,4277470,Include?,Single EF pass?  ,527183,4277614,Arkansas,500,NULL,AR0319,NA,23954,Mark denotes sampling ABV/BLW the diversion (see narrative); No Station Width,Mark column - E1 is the creek below the spillway & E2 is the upper spillway; Record # 1088.,NO
